FIELD|NAMES,name,x,y
FIELD|KEYS,1,0,0
depot,40,50
node1,25,85
node2,22,75
node3,22,85
node4,20,80
node5,20,85
node6,18,75
node7,15,75
node8,15,80
node9,10,35
node10,10,40
node11,8,40
node12,8,45
node13,5,35
node14,5,45
node15,2,40
node16,0,40
node17,0,45
node18,44,5
node19,42,10
node20,42,15
node21,40,5
node22,40,15
node23,38,5
node24,38,15
node25,35,5
node26,95,30
node27,95,35
node28,92,30
node29,90,35
node30,88,30
node31,88,35
node32,87,30
node33,85,25
node34,85,35
node35,67,85
node36,65,85
node37,65,82
node38,62,80
node39,60,80
node40,60,85
node41,58,75
node42,55,80
node43,55,85
node44,55,82
node45,20,82
node46,18,80
node47,2,45
node48,42,5
node49,42,12
node50,72,35

